hashed_password,password,thread_count,time_to_crack
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,1,4814200
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,1,4308000
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,1,5022800
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,2,4505400
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,2,4172200
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,2,4195700
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,3,4388100
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,3,4439100
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,3,4212800
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,4,4964800
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,4,4238700
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,4,5074800
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,5,4764700
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,5,4621500
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,5,4280000
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,6,4635700
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,6,4390800
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,6,6507700
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,7,5631100
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,7,4801700
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,7,6565200
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,8,6652000
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,8,4491100
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,8,5991700
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,9,6678500
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,9,6852200
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,9,7084100
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,10,6887200
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,10,6840500
9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0,aaa,10,5837100
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,1,4970100
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,1,5371400
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,1,5084900
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,2,5020500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,2,5062000
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,2,5015500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,3,4286700
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,3,5206900
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,3,4993500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,4,5084500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,4,5219900
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,4,4195000
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,5,4345500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,5,4583200
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,5,4257500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,6,4364800
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,6,5228100
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,6,4324000
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,7,4392100
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,7,5480400
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,7,4272000
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,8,6613500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,8,6353500
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,8,6586800
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,9,6931000
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,9,6609200
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,9,7097200
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,10,6633200
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,10,4491200
38760eabb666e8e61ee628a17c4090cc50728e095ff24218119d51bd22475363,aab,10,5548500
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,1,5059800
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,1,4381500
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,1,4096800
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,2,4466000
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,2,5018600
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,2,4177400
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,3,4289100
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,3,4163700
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,3,5153800
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,4,4183200
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,4,4257500
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,4,4344600
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,5,4186400
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,5,4164000
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,5,5051800
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,6,4386400
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,6,4198900
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,6,4355200
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,7,4424600
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,7,7332700
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,7,4310300
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,8,4444000
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,8,4352900
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,8,4321900
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,9,6619400
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,9,5333700
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,9,6646900
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,10,4648800
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,10,6526000
501331ba42ea561ce5df8a824df17e3fddfef6dacdc9fa3677010b7c28a886cc,aac,10,6672000
e124adcce1fb2f88e1ea799c3d0820845ed343e6c739e54131fcb3a56e4bc1bd,aba,1,5324800
e124adcce1fb2f88e1ea799c3d0820845ed343e6c739e54131fcb3a56e4bc1bd,aba,1,5117600
